col_name,data_type,category,source_expression,description,fhir_resource,fhir_element,notes
VACC_EVENT_ID,string,"REPLACE(CONCAT('WA','V',pat_id,vacc_code,vacc_date,irms_id,family_code), Char(9), '')",Identifier,Synthetic unique vaccination event identifier prefixed with 'WA',Immunization,identifier,
IRMS_SYS_ID,double,CAST(i.irms_sys_id AS DOUBLE),Identifier,IRMS system ID of the administering provider,Immunization,performer.actor,
ASIIS_FAC_ID,double,CAST(fm.asiis_fac_id AS DOUBLE),Identifier,ASIIS facility identifier,Location,identifier,
ASIIS_VACC_CODE,double,CAST(vm.asiis_vacc_code AS DOUBLE),Identifier,ASIIS vaccine code (internal),Immunization,vaccineCode,Map to CVX via BEST_CDC_CODE
ASIIS_PAT_ID,double,CAST(pm.asiis_pat_id AS DOUBLE),Identifier,ASIIS patient identifier,Patient,identifier,
IWEB_VACC_EVENT_ID,string,vm.iweb_vacc_event_id,Identifier,iWeb vaccination event ID (legacy),Immunization,identifier,Not in published data dictionary
PAT_FIRST_NAME,string,pm.pat_first_name,Patient,Patient first name,Patient,name.given,
PAT_MIDDLE_NAME,string,pm.pat_middle_name,Patient,Patient middle name,Patient,name.given,
PAT_LAST_NAME,string,pm.pat_last_name,Patient,Patient family name,Patient,name.family,
PAT_BIRTH_DATE,date,"to_date(pm.pat_birth_date,'yyyy-MM-dd')",Patient,Patient date of birth,Patient,birthDate,
PAT_GENDER,string,pm.pat_gender,Patient,Patient administrative gender,Patient,gender,Map M/F/U to male/female/unknown
PAT_ETHNICITY_CODE,string,CAST(pm.pat_ethnicity_code AS string),Patient,Patient ethnicity code (HL7 table),Patient,extension:ethnicity,
PAT_LANGUAGE,string,pm.pat_language,Patient,Patient preferred language,Patient,communication.language,
PAT_ADDRESS_PHONE,string,pl.address_phone,Patient,Patient phone number,Patient,telecom[phone],
PAT_ADDRESS_EMAIL,string,pm.address_email,Patient,Patient email address,Patient,telecom[email],
PAT_ADDRESS_STREET1,string,"REPLACE(pz.address_street1, Char(9), '')",PatientAddress,Patient street address line 1 (current),Patient,address.line,
PAT_ADDRESS_STREET2,string,"REPLACE(pz.address_street2, Char(9), '')",PatientAddress,Patient street address line 2 (current),Patient,address.line,
PAT_ADDRESS_CITY,string,"REPLACE(pz.address_city, Char(9), '')",PatientAddress,Patient city (current),Patient,address.city,
PAT_COUNTY_CODE,string,"COALESCE(pz.county_fips, pma.county_fips)",PatientAddress,Patient county FIPS code (current),Patient,address.district,FIPS 5-digit code
PAT_ADDRESS_STATE,string,"COALESCE(pz.state, pma.state)",PatientAddress,Patient state (current),Patient,address.state,
PAT_ADDRESS_ZIP,string,"COALESCE(pz.address_zip, pma.address_zip)",PatientAddress,Patient ZIP code (current),Patient,address.postalCode,Normalized to 5 digits
ATO_PAT_ADDRESS_STREET1,string,"REPLACE(AAV.ADDRESS_STREET1, CHAR(9),'')",ATOAddress,Patient street address line 1 at time of vaccination,Patient,address.line,Address ATO = At Time Of (vaccination)
ATO_PAT_ADDRESS_STREET2,string,"REPLACE(AAV.ADDRESS_STREET2, CHAR(9),'')",ATOAddress,Patient street address line 2 at time of vaccination,Patient,address.line,
ATO_PAT_ADDRESS_CITY,string,"REPLACE(AAV.ADDRESS_CITY, CHAR(9),'')",ATOAddress,Patient city at time of vaccination,Patient,address.city,
ATO_PAT_COUNTY_CODE,string,"COALESCE(AAV.county_fips, pma.county_fips)",ATOAddress,Patient county FIPS at time of vaccination,Patient,address.district,
ATO_PAT_ADDRESS_STATE,string,"COALESCE(AAV.state, pma.state)",ATOAddress,Patient state at time of vaccination,Patient,address.state,
